	Time	Latitude	Longitude	Magnitude	Epicenter	Remarks	YYYY	MM	DD
0	04:08	28.43	83.99	4.0	Kaski	NEMRC/DMG	2023.0	7.0	19.0
1	05:32	29.75	81.78	4.6	Humla	NEMRC/SC/DMG	2023.0	7.0	13.0
2	00:10	28.15	84.54	4.0	Lamjung	NEMRC/DMG	2023.0	6.0	23.0
3	23:10	29.78	80.92	4.0	Darchula	NEMRC/SC/DMG	2023.0	6.0	19.0
4	01:53	29.72	81.61	4.4	Bajura	NEMRC/SC/DMG	2023.0	6.0	12.0
5	22:21	29.66	81.61	4.5	Bajhang	NEMRC/SC/DMG	2023.0	5.0	23.0
6	13:09	29.68	81.61	4.1	Bajura	NEMRC/SC/DMG	2023.0	5.0	22.0
7	21:14	28.62	82.84	4.1	RUKUM EAST	NEMRC/SC/DMG	2023.0	5.0	20.0
8	23:30	29.73	81.62	4.3	Bajura	NEMRC/SC/DMG	2023.0	5.0	10.0
9	07:32	29.78	81.58	4.1	Bajura	NEMRC/SC/DMG	2023.0	5.0	4.0
10	08:50	29.89	81.93	4.0	Humla	NEMRC/SC/DMG	2023.0	5.0	1.0
11	03:40	29.74	81.63	4.1	Bajura	NEMRC/SC/DMG	2023.0	4.0	28.0
12	19:45	29.78	81.61	5.9	Bajura	NEMRC/SC/DMG	2023.0	4.0	27.0
13	18:13	29.75	81.56	4.9	Bajura	NEMRC/SC/DMG	2023.0	4.0	27.0
14	07:27	29.38	81.34	4.1	Bajura	NEMRC/SC/DMG	2023.0	4.0	23.0
15	13:05	28.17	84.74	4.1	Gorkha	NEMRC/DMG	2023.0	4.0	11.0
16	05:42	27.76	86.19	5.2	Dolakha	NEMRC/DMG	2023.0	4.0	1.0
17	21:34	28.12	84.9	4.1	Gorkha	NEMRC/DMG	2023.0	3.0	31.0
18	17:56	27.86	87.89	4.6	Taplejung	NEMRC/DMG	2023.0	3.0	28.0
19	16:42	29.42	81.66	4.3	Bajura	NEMRC/SC/DMG	2023.0	3.0	26.0
20	04:06	29.64	81.89	4.5	Mugu	NEMRC/SC/DMG	2023.0	3.0	24.0
21	13:11	28.95	81.68	4.1	Dailekh	NEMRC/SC/DMG	2023.0	3.0	13.0
22	02:50	29.29	81.4	4.4	Achham	NEMRC/SC/DMG	2023.0	3.0	5.0
23	02:18	27.57	85.59	4.3	Kavrepalanchok	NEMRC/DMG	2023.0	3.0	5.0
24	11:57	27.82	88.02	4.0	Taplejung	NEMRC/DMG	2023.0	3.0	1.0
25	04:18	27.08	87.96	4.3	Illam	NEMRC/DMG	2023.0	2.0	28.0
26	08:00	29.68	81.67	5.2	Bajura	NEMRC/SC	2023.0	2.0	22.0
27	22:45	27.83	87.95	4.8	Taplejung	NEMRC/DMG	2023.0	2.0	12.0
28	03:07	28.8	82.53	4.2	Rukum	NEMRC/SC/DMG	2023.0	2.0	10.0
29	05:59	29.71	81.62	4.0	Bajura	SC/NEMRC	2023.0	2.0	1.0
30	18:39	27.42	87.47	4.0	Taplejung	NEMRC/DMG	2023.0	1.0	31.0
31	19:22	29.64	81.68	4.1	Bajura	NEMRC/SC	2023.0	1.0	25.0
32	08:58	29.75	81.7	5.9	Bajura	NEMRC/SC/DMG	2023.0	1.0	24.0
33	22:53	27.8	85.81	4.2	Sindhupalchok	NEMRC/DMG	2023.0	1.0	21.0
34	21:43	28.45	83.09	4.0	Baglung	NEMRC/DMG	2022.0	12.0	27.0
35	20:22	28.36	83.19	5.3	Baglung	NEMRC/DMG	2022.0	12.0	27.0
36	19:38	28.45	83.14	4.7	Baglung	NEMRC/DMG	2022.0	12.0	27.0
37	01:30	29.1	83.3	4.6	Dolpa	NEMRC/SC/DMG	2022.0	12.0	23.0
38	19:15	30.0	80.74	4.1	Darchula	NEMRC/SC/DMG	2022.0	12.0	21.0
39	17:08	28.26	85.06	4.5	Dhading	NEMRC/DMG	2022.0	12.0	18.0
40	05:00	26.93	87.26	4.0	Dhankuta	NEMRC/DMG	2022.0	11.0	28.0
41	12:23	29.35	81.21	4.2	Achham	SC/NEMRC/DMG	2022.0	11.0	15.0
42	14:27	29.45	81.19	5.4	Bajhang	NEMRC/SC	2022.0	11.0	12.0
43	23:28	29.35	81.29	4.1	Bajura	NEMRC/SC/DMG	2022.0	11.0	9.0
44	20:27	29.38	81.13	6.6	Doti	NEMRC/SC/DMG	2022.0	11.0	8.0
45	16:11	29.38	81.11	4.1	Doti	NEMRC/SC	2022.0	11.0	8.0
46	15:22	29.38	81.11	5.7	Doti	NEMRS/SC	2022.0	11.0	8.0
47	03:41	29.6	81.04	4.6	Bajhang	NEMRC/SC	2022.0	10.0	30.0
48	10:08	28.07	86.02	4.5	Sindhupalchok/Tibet	NEMRC	2022.0	10.0	19.0
49	09:22	28.15	86.06	5.9	Sindhupalchok/Tibet	NEMRC	2022.0	10.0	19.0
50	19:43	28.24	81.77	4.8	Banke	NEMRC	2022.0	8.0	19.0
51	16:58	27.97	85.54	4.2	Sindhupalchok	NERMC	2022.0	8.0	18.0
52	23:41	27.83	85.15	5.3	Nuwakot	NEMRC/SC	2022.0	8.0	5.0
53	02:28	27.16	86.83	6.0	khotang	NEMRC	2022.0	7.0	31.0
54	00:22	27.94	85.52	4.7	Sindhupalchok	NEMRC	2022.0	7.0	25.0
55	22:46	29.41	81.34	4.1	Bajura	NEMRC/SC	2022.0	7.0	17.0
56	14:04	29.82	80.76	4.2	Darchula	NEMRC/SC	2022.0	7.0	10.0
57	09:47	27.66	86.2	4.1	Dolakha	NEMRC	2022.0	7.0	2.0
58	01:37	28.1	84.81	4.1	Gorkha	NEMRC	2022.0	6.0	23.0
59	22:11	28.33	83.86	4.9	Kaski	NEMRC	2022.0	6.0	22.0
60	20:51	27.7	85.41	4.7	Bhaktapur	NEMRC	2022.0	6.0	10.0
61	07:05	29.61	80.51	4.0	Baitadi	NEMRC/SC	2022.0	6.0	7.0
62	09:24	27.3	87.73	4.3	Taplejung	NEMRC	2022.0	5.0	23.0
63	09:15	27.31	87.94	4.1	Taplejung	NEMRC	2022.0	5.0	23.0
64	04:12	29.35	82.04	4.1	Jumla	NEMRC/SC	2022.0	5.0	4.0
65	00:18	29.58	81.0	4.1	Bajhang	NEMRC/SC	2022.0	4.0	19.0
66	10:54	27.9	87.86	4.2	Taplejung	NEMRC	2022.0	3.0	23.0
67	10:07	29.7	80.71	4.1	Baitadi	NEMRC	2022.0	2.0	22.0
68	11:09	27.9	84.57	4.1	Gorkha	NEMRC	2022.0	1.0	26.0
69	00:58	27.98	85.58	4.1	Sindhupalchok	NEMRC	2022.0	1.0	21.0
70	18:29	28.68	82.97	4.2	Rukum East	NEMRC/SC	2022.0	1.0	6.0
71	10:31	27.67	86.32	4.2	Dolakha	NEMRC	2022.0	1.0	5.0
72	08:43	27.87	85.92	4.1	Sindhupalchok	NEMRC	2021.0	11.0	9.0
73	14:45	28.29	84.36	4.1	Lamjung	NEMRC	2021.0	10.0	25.0
74	09:38	27.86	85.82	4.0	Sindhupalchok	NEMRC	2021.0	10.0	18.0
75	09:35	27.85	85.81	4.1	Sindhupalchok	NEMRC	2021.0	10.0	18.0
76	08:11	27.92	85.81	4.7	Sindhupalchok	NEMRC	2021.0	10.0	18.0
77	08:01	27.92	85.8	4.7	Sindhupalchok	NEMRC	2021.0	10.0	18.0
78	22:24	28.18	84.93	4.3	Gorkha	NEMRC	2021.0	10.0	16.0
79	14:28	27.91	85.81	4.1	Sindhupalchowk	NEMRC	2021.0	10.0	2.0
80	14:13	27.92	85.81	4.6	Sindhupalchowk	NEMRC	2021.0	10.0	2.0
81	07:09	27.71	85.92	4.2	Sindhupalchowk	NEMRC	2021.0	10.0	1.0
82	06:27	27.91	85.8	4.5	Sindhupalchowk	NEMRC	2021.0	9.0	25.0
83	10:45	29.89	80.59	4.2	Kharra, Darchula	NEMRC/SC	2021.0	9.0	20.0
84	14:56	27.64	86.1	4.3	Dolakha	NEMRC	2021.0	9.0	12.0
85	20:38	29.61	81.01	4.0	Bajhang	NEMRC/SC	2021.0	8.0	23.0
86	04:09	26.98	86.69	4.3	Udayapur	NEMRC	2021.0	8.0	12.0
87	13:12	27.28	86.9	4.2	Khotang	NEMRC	2021.0	7.0	23.0
88	15:14	28.98	81.47	4.3	Dailekh	NEMRC/SC	2021.0	7.0	18.0
89	10:12	28.13	84.56	4.2	Lamjung	NEMRC	2021.0	7.0	7.0
90	16:17	29.79	81.59	4.1	Bajhang/Bajura	NEMRC/SC	2021.0	7.0	2.0
91	08:35	27.3	87.26	4.0	Sankhuwasabha	NEMRC	2021.0	6.0	29.0
92	16:54	28.24	84.41	4.5	Lamjung	NEMRC	2021.0	5.0	19.0
93	15:38	28.27	84.42	4.0	Lamjung	NEMRC	2021.0	5.0	19.0
94	02:41	28.27	84.4	5.3	Lamjung	NEMRC	2021.0	5.0	19.0
95	02:32	28.26	84.36	4.1	Lamjung	NEMRC	2021.0	5.0	19.0
96	02:31	28.26	84.35	4.0	Lamjung	NEMRC	2021.0	5.0	19.0
97	23:57	28.28	84.39	5.8	Lamjung	NEMRC	2021.0	5.0	18.0
98	15:19	26.75	89.09	5.8	Binnaguri, India	NEMRC	2021.0	4.0	5.0
99	04:20	27.5	85.63	4.1	Kavrepalanchok	NEMRC	2021.0	3.0	18.0
100	12:58	27.79	86.35	4.2	Dolakha	NEMRC	2021.0	3.0	3.0
101	01:50	27.89	87.91	5.4	Taplejung	NEMRC	2021.0	2.0	9.0
102	22:13	27.78	88.15	4.5	Taplejung	NEMRC	2021.0	2.0	4.0
103	16:14	28.78	84.1	5.3	Manang	NEMRC	2021.0	2.0	2.0
104	11:40	27.66	86.18	4.0	Dolakha	NEMRC	2021.0	1.0	14.0
105	04:03	29.89	80.7	4.2	Darchula	NEMRC/SC	2021.0	1.0	12.0
106	04:59	27.66	87.62	4.4	Taplejung	NEMRC	2021.0	1.0	3.0
107	20:04	27.66	86.34	4.6	Ramechhap	NEMRC	2020.0	12.0	29.0
108	13:23	27.77	87.86	4.2	Taplejung	NEMRC	2020.0	12.0	8.0
109	07:57	27.75	85.87	4.2	Sindhupalchok	NEMRC	2020.0	12.0	2.0
110	21:44	27.73	87.87	4.9	Taplejung	NEMRC	2020.0	11.0	8.0
111	18:34	29.58	80.81	4.2	Bajhang	NEMRC/SC	2020.0	10.0	28.0
112	10:32	27.62	86.24	4.0	Dolakha	NEMRC	2020.0	10.0	24.0
113	23:34	27.77	85.88	6.0	Sindhupalchowk	NEMRC	2020.0	9.0	15.0
114	03:45	26.76	88.21	5.0	Nepal India  Border	NEMRC	2020.0	9.0	11.0
115	10:03	27.92	84.94	4.0	Dhading	NSC	2020.0	9.0	9.0
116	01:35	27.58	87.19	4.0	Sankhuwasabha	NSC	2020.0	9.0	4.0
117	15:24	29.59	80.89	4.7	Bajhang	NSC/RSC	2020.0	8.0	25.0
118	10:22	27.8	87.62	4.2	Sankhuwasabha	NSC	2020.0	8.0	15.0
119	04:08	27.88	86.2	4.1	Dolakha	NSC	2020.0	6.0	16.0
120	15:51	27.85	84.93	4.8	Dhading	NSC	2020.0	5.0	30.0
121	10:15	29.73	82.01	4.2	Humla/Mugu	NSC/RSC	2020.0	5.0	26.0
122	18:08	27.65	86.15	5.3	Dolakha	NSC	2020.0	5.0	12.0
123	19:10	27.55	86.59	4.7	Solukhumbu	NSC	2020.0	4.0	15.0
124	15:10	29.58	80.96	4.0	Bajhang	NSC/RSC	2020.0	4.0	2.0
125	12:51	28.01	84.97	4.0	Dhading	NSC	2020.0	3.0	25.0
126	15:00	28.34	83.8	5.0	Kaski	NSC	2020.0	3.0	15.0
127	13:32	27.79	86.18	4.3	Dolakha	NSC	2020.0	3.0	4.0
128	15:28	29.71	81.69	4.3	Bajura/Humla	NSC/RSC	2020.0	2.0	19.0
129	02:14	29.61	81.71	4.2	Bajura	NSC/RSC	2020.0	1.0	28.0
130	20:22	29.59	81.73	4.2	Bajura	NSC/RSC	2020.0	1.0	12.0
131	14:34	29.58	81.71	4.5	Bajura	NSC/RSC	2020.0	1.0	12.0
132	13:26	27.95	85.59	4.8	Sindhupalchowk	NSC	2019.0	12.0	12.0
133	16:23	27.79	85.79	5.0	Sindhupalchowk	NSC	2019.0	11.0	27.0
134	13:30	29.42	81.1	5.7	Bajhang	NSC/RSC	2019.0	11.0	19.0
135	02:00	30.2	80.1	4.6	India	NSC/RSC	2019.0	11.0	12.0
136	22:06	28.45	83.23	4.5	Baglung	NSC	2019.0	10.0	31.0
137	13:42	29.66	82.04	4.1	Mugu	NSC/RSC	2019.0	10.0	28.0
138	05:21	26.88	86.59	4.1	Udayapur	NSC	2019.0	10.0	22.0
139	19:24	27.82	87.98	4.2	Taplejung	NSC	2019.0	10.0	20.0
140	01:42	28.66	83.06	4.4	Rukum/Baglung border	NSC	2019.0	9.0	29.0
141	04:58	30.0	81.45	4.3	Bajhang/Humla border	RSC/NSC	2019.0	9.0	28.0
142	13:04	28.28	84.65	4.7	Gorkha/Lamjung border	NSC	2019.0	9.0	26.0
143	19:33	27.71	86.32	4.0	Dolakha	NSC	2019.0	9.0	25.0
144	16:16	28.25	84.49	4.4	Lamjung	NSC	2019.0	9.0	22.0
145	00:34	28.15	84.61	4.0	Gorkha	NSC	2019.0	9.0	21.0
146	04:08	28.21	84.49	4.5	Lamjung	NSC	2019.0	9.0	17.0
147	14:33	29.8	80.48	4.4	Darchula(Nepal-India Border)	NSC/RSC	2019.0	9.0	16.0
148	05:09	30.3	81.74	5.0	Humla	RSC/NSC	2019.0	9.0	15.0
149	01:22	27.52	86.39	4.0	Solukhumbu	NSC	2019.0	8.0	22.0
150	17:24	27.69	86.26	4.3	Dolakha	NSC	2019.0	8.0	14.0
151	12:41	28.5	83.22	4.7	Myagdi	NSC	2019.0	8.0	9.0
152	12:13	27.8	86.15	4.2	Dolakha	NSC	2019.0	7.0	24.0
153	10:30	27.67	85.42	4.6	Bhaktapur	NSC	2019.0	7.0	6.0
154	16:36	27.95	84.8	4.0	Dhading	NSC	2019.0	6.0	27.0
155	15:47	28.95	81.98	4.5	Jajarkot	NSC/RSC	2019.0	6.0	15.0
156	06:37	29.52	81.05	4.0	Bajhang	RSC/NSC	2019.0	6.0	14.0
157	04:16	29.62	82.11	4.6	Mugu	RSC/NSC	2019.0	5.0	30.0
158	15:23	29.5	81.28	4.3	Bajhang	RSC/NSC	2019.0	5.0	25.0
159	05:17	27.7	86.47	4.9	Ramechhap	NSC	2019.0	5.0	25.0
160	18:02	28.21	84.37	4.1	Lamjung	NSC	2019.0	5.0	21.0
161	08:23	27.85	84.87	5.0	Dhading	NSC	2019.0	5.0	17.0
162	18:51	28.98	81.78	5.1	Dailekh	RSC/NSC	2019.0	5.0	11.0
163	02:52	27.94	85.72	4.0	Sindhupalchowk	NSC	2019.0	5.0	4.0
164	05:50	27.93	85.94	4.0	Sindhupalchowk	NSC	2019.0	4.0	29.0
165	00:55	27.7	85.14	4.3	Dhading	NSC	2019.0	4.0	24.0
166	00:44	27.69	85.17	5.2	Dhading	NSC	2019.0	4.0	24.0
167	06:50	28.0	84.76	4.5	Gorkha	NSC	2019.0	4.0	16.0
168	22:42	29.49	81.24	4.8	Bajhang	RSC/NSC	2019.0	4.0	14.0
169	04:40	28.03	85.38	4.6	Rasuwa	NSC	2019.0	4.0	13.0
170	07:20	27.76	86.27	4.2	Dolakha	NSC	2019.0	4.0	9.0
171	15:02	28.98	81.69	4.1	Dailekh	RSC/NSC	2019.0	4.0	1.0
172	03:16	27.63	85.16	4.1	Makawanpur	NSC	2019.0	3.0	18.0
173	10:35	27.84	85.95	4.1	Sindhupalchok	NSC	2019.0	2.0	26.0
174	10:30	27.66	86.0	4.4	Dolakha	NSC	2019.0	2.0	26.0
175	14:49	27.68	85.27	4.0	Kathmandu	NSC	2019.0	2.0	16.0
176	11:26	27.81	88.18	4.6	Taplejung	NSC	2019.0	2.0	14.0
177	16:45	27.09	86.96	4.5	Bhojpur	NSC	2019.0	1.0	22.0
178	05:49	27.6	86.31	4.5	Ramechhap	NSC	2019.0	1.0	10.0
179	23:21	27.85	85.76	4.7	Sindhupalchok	NSC	2018.0	12.0	22.0
180	01:22	27.72	86.02	4.0	Sindhupalchok/Dolakha	NSC	2018.0	10.0	25.0
181	05:07	28.94	81.72	4.3	Dailekh	RSC/NSC	2018.0	10.0	6.0
182	16:00	28.93	81.7	4.0	Dailekh	RSC/NSC	2018.0	10.0	5.0
183	07:08	28.94	81.74	4.0	Dailekh	RSC/NSC	2018.0	10.0	5.0
184	19:57	28.57	82.88	4.0	East Rukum	NSC	2018.0	9.0	19.0
185	17:50	27.79	87.41	4.2	Sankhuwasabha	NSC	2018.0	8.0	29.0
186	12:31	27.5	88.04	4.5	Taplejung	NSC	2018.0	8.0	24.0
187	08:47	27.66	86.1	4.2	Dolakha	NSC	2018.0	8.0	2.0
188	11:59	27.94	85.51	4.3	Sindhupalchok	NSC	2018.0	7.0	24.0
189	02:45	27.75	84.87	4.8	Dhading	NSC	2018.0	7.0	24.0
190	05:30	29.02	81.51	4.2	Dailekh	RSC/NSC	2018.0	7.0	18.0
191	17:07	27.82	84.81	4.4	Dhading	NSC	2018.0	7.0	17.0
192	03:13	29.57	81.56	4.1	Bajura	RSC/NSC	2018.0	7.0	13.0
193	01:36	28.11	85.04	4.1	Dhading	NSC	2018.0	7.0	5.0
194	04:07	27.87	84.91	5.0	Dhading	NSC	2018.0	6.0	28.0
195	04:15	27.31	87.9	4.7	Taplejung	NSC	2018.0	6.0	20.0
196	04:09	27.36	88.01	4.8	Taplejung	NSC	2018.0	6.0	20.0
197	01:34	29.68	81.65	4.9	Bajura	RSC/NSC	2018.0	6.0	5.0
198	15:22	27.68	86.11	4.3	Dolakha	NSC	2018.0	6.0	1.0
199	20:32	28.17	84.89	4.1	gorkha	NSC	2018.0	5.0	31.0
200	16:00	28.9	81.77	4.3	Dailekh	RSC/NSC	2018.0	5.0	31.0
201	14:25	29.98	80.54	4.6	Dharchula	RSC/NSC	2018.0	5.0	24.0
202	15:04	27.74	88.13	4.4	Taplejung	NSC	2018.0	5.0	5.0
203	05:06	27.7	86.33	4.6	Dolakha	NSC	2018.0	3.0	2.0
204	19:00	27.7	86.33	4.7	Dolakha	NSC	2018.0	2.0	26.0
205	15:59	28.07	85.96	4.3	Tibet	NSC	2018.0	2.0	21.0
206	02:53	27.72	86.01	4.3	Dolakha	NSC	2018.0	1.0	19.0
207	07:45	29.82	80.76	4.5	Darchula	RSC/NSC	2017.0	12.0	28.0
208	11:33	27.96	85.68	4.2	Sindhupalchowk	NSC	2017.0	12.0	18.0
209	02:51	27.63	86.19	5.2	Dolakha	NSC	2017.0	12.0	8.0
210	03:09	29.78	81.28	4.5	Bajhang	RSC/NSC	2017.0	11.0	6.0
211	12:51	29.08	81.45	4.0	Achham	NSC/RSC	2017.0	10.0	26.0
212	11:17	28.5	83.32	4.2	Myagdi	NSC	2017.0	10.0	15.0
213	01:22	28.83	82.55	4.1	Rukum	NSC/RSC	2017.0	10.0	2.0
214	07:19	27.62	86.25	4.6	Dolakha	NSC	2017.0	9.0	21.0
215	10:40	28.06	85.94	4.8	Sindhupalchok-Tibet border	NSC	2017.0	8.0	24.0
216	12:50	29.41	81.1	4.9	Bajhang	RSC/NSC	2017.0	8.0	22.0
217	12:03	27.66	86.27	4.6	Dolakha	NSC	2017.0	8.0	21.0
218	04:44	27.56	85.96	4.0	Dolakha	NSC	2017.0	7.0	24.0
219	04:35	28.94	81.75	4.0	Dailekh	NSC/RSC	2017.0	7.0	15.0
220	01:58	27.34	86.49	5.1	Okhaldhunga	NSC	2017.0	7.0	2.0
221	18:24	27.66	86.41	4.2	Ramechhap	NSC	2017.0	6.0	28.0
222	03:42	27.88	88.13	4.1	Taplejung-Tibet Border	NSC	2017.0	6.0	14.0
223	11:54	27.62	86.1	4.1	Dolakha	NSC	2017.0	6.0	12.0
224	05:38	29.64	80.97	4.1	Bajhang	RSC/NSC	2017.0	5.0	30.0
225	11:19	27.86	85.77	4.2	Sindhupalchowk	NSC	2017.0	4.0	24.0
226	03:04	29.75	81.31	4.1	Bajhang	NSC/RSC	2017.0	4.0	24.0
227	01:43	30.37	81.57	4.1	Humla	RSC/NSC	2017.0	3.0	10.0
228	04:21	27.38	86.13	4.7	Ramechhap	NSC	2017.0	2.0	27.0
229	03:37	27.36	86.12	4.6	Ramechhap	NSC	2017.0	2.0	27.0
230	00:15	27.79	84.8	4.0	Dhading	NSC	2017.0	2.0	18.0
231	11:13	29.88	80.61	4.1	Darchula	NSC/RSC	2017.0	2.0	10.0
232	12:13	27.73	86.08	4.4	Dolakha	NSC	2017.0	2.0	4.0
233	06:41	29.71	81.57	4.0	Bajura	RSC/NSC	2017.0	1.0	3.0
234	23:35	27.79	86.58	5.6	Ramechap/Solukhumbu	NSC/RSC	2016.0	11.0	28.0
235	04:02	29.69	81.05	4.0	Bajhang	RSC/NSC	2016.0	11.0	6.0
236	04:18	27.87	85.3	4.0	Nuwakot	NSC	2016.0	10.0	17.0
237	12:37	28.04	85.17	4.1	Rasuwa	NSC	2016.0	10.0	15.0
238	08:29	27.66	85.95	4.1	Dolakha	NSC	2016.0	10.0	12.0
239	07:08	27.67	85.95	4.6	Dolakha	NSC	2016.0	10.0	11.0
240	04:52	27.65	86.13	4.2	Dolakha	NSc	2016.0	10.0	7.0
241	17:12	27.91	85.77	4.6	Sindhupalchowk	NSC	2016.0	9.0	18.0
242	02:04	27.78	86.35	4.5	Dolakha	NSC	2016.0	9.0	5.0
243	00:37	27.82	86.14	4.1	Dolakha	NSC	2016.0	9.0	5.0
244	12:03	29.81	81.56	4.0	Bajura	RSC/NSC	2016.0	8.0	27.0
245	06:14	27.99	84.71	4.1	Gorkha	NSC	2016.0	7.0	23.0
246	22:23	27.84	86.16	4.1	Dolakha	NSC	2016.0	7.0	8.0
247	11:53	27.92	85.66	4.4	Sindhupalchowk	NSC	2016.0	7.0	7.0
248	08:59	28.31	84.35	4.3	Lamjung	NSC/RSC	2016.0	7.0	7.0
249	12:23	29.64	81.28	4.4	Bajhang	RSC/NSC	2016.0	7.0	2.0
250	09:26	29.63	81.24	4.2	Bajhang	RSC/NSC	2016.0	6.0	29.0
251	09:10	29.63	81.28	5.0	Bajhang	RSC/NSC	2016.0	6.0	29.0
252	13:00	27.76	86.34	4.1	Dolakha	NSC	2016.0	6.0	22.0
253	05:49	27.93	85.21	4.4	Nuwakot	NSC	2016.0	6.0	21.0
254	23:27	28.03	84.64	4.3	Gorkha	NSC	2016.0	6.0	14.0
255	23:25	27.96	85.62	4.4	Sindhupalchowk	NSC	2016.0	6.0	3.0
256	09:39	27.94	85.5	4.6	Sindhupalchok	NSC/RSC	2016.0	5.0	28.0
257	19:09	27.73	85.16	4.2	Dhading	NSC/RSC	2016.0	5.0	24.0
258	22:45	27.93	85.5	4.4	Sindhupalchowk	NSC/RSC	2016.0	5.0	15.0
259	23:20	27.97	85.55	4.3	Sindhupalchowk	NSC	2016.0	5.0	14.0
260	19:24	27.69	86.24	4.1	Dolakha	NSC	2016.0	5.0	13.0
261	08:52	28.01	84.68	4.5	Gorkha	NSC	2016.0	5.0	11.0
262	01:19	28.01	84.94	4.4	Dhading	NSC	2016.0	5.0	11.0
263	04:46	28.24	84.99	4.1	Gorkha/Dhading	NSC	2016.0	5.0	5.0
264	05:32	29.38	81.88	4.0	Kalikot	RSC/NSC	2016.0	5.0	4.0
265	06:43	29.54	81.1	4.2	Bajhang	RSC/NSC	2016.0	4.0	30.0
266	09:33	28.05	85.38	4.3	Rasuwa	NSC	2016.0	4.0	26.0
267	20:31	28.08	85.13	4.2	Nuwakot	NSC	2016.0	4.0	24.0
268	11:04	27.79	85.85	4.0	Sindhupalchowk	NSC	2016.0	4.0	22.0
269	06:56	27.72	86.29	4.0	Dolakha	NSC	2016.0	4.0	22.0
270	14:41	27.56	86.17	4.4	Dolakha	NSC	2016.0	4.0	12.0
271	13:20	27.65	85.31	4.5	Lalitpur	NSC	2016.0	4.0	9.0
272	04:31	27.72	86.09	4.7	Dolakha	NSC	2016.0	4.0	4.0
273	03:55	29.81	81.51	4.3	Bajhang	RSC/NSC	2016.0	4.0	4.0
274	22:41	27.93	85.59	4.0	Sindhupalchowk	NSC	2016.0	3.0	31.0
275	12:26	27.89	85.73	4.7	Sindhupalchowk	NSC	2016.0	3.0	30.0
276	23:41	27.75	88.04	4.1	Taplejung	NSC	2016.0	3.0	24.0
277	05:14	27.34	86.27	4.0	Okhaldhunga	NSC	2016.0	3.0	17.0
278	21:27	27.84	85.73	4.5	Sindhupalchowk	NSC	2016.0	3.0	15.0
279	05:15	27.83	84.9	4.8	Dhading	NSC	2016.0	3.0	13.0
280	09:28	27.9	85.87	4.2	Sindhupalchowk	NSC	2016.0	3.0	11.0
281	08:05	30.22	81.7	4.4	Humla	NSC/RSC	2016.0	3.0	7.0
282	01:25	27.69	85.93	4.0	Sindhupalchowk	NSC	2016.0	3.0	6.0
283	10:45	27.79	85.73	4.3	Sindhupalchowk	NSC	2016.0	3.0	1.0
284	09:22	27.8	85.74	5.4	Sindhupalchok	NSC	2016.0	2.0	24.0
285	03:00	27.47	87.15	4.5	Sankhuwasava	NSC	2016.0	2.0	23.0
286	18:09	28.08	84.76	5.5	Gorkha	NSC	2016.0	2.0	21.0
287	22:09	27.86	85.29	4.1	Nuwakot	NSC	2016.0	2.0	20.0
288	14:37	27.81	85.72	4.3	Sindhupalchowk	NSC	2016.0	2.0	13.0
289	16:27	27.84	85.71	4.6	Sindhupalchowk	NSC	2016.0	2.0	10.0
